epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.75599,2.39958,4.9231,4.94507,1.94345,0,0,0,0,0,0,0,0,0,2.21216,4.15915,4.44279,2.13562,0,7.5e-05,7.5e-05,0.097075
2,13.1561,2.18988,4.81255,4.44412,1.88651,0,0,0,0,0,0,0,0,0,1.7816,6.34228,4.29735,1.81428,0,0.00017497,0.00017497,0.093175
3,15.4915,1.61024,4.05179,4.00141,1.41073,0,0,0,0,0,0,0,0,0,2.23881,126.418,4.00304,2.172,0,0.000274812,0.000274812,0.0892748
4,17.6797,1.52704,4.13005,3.54743,1.33426,0,0,0,0,0,0,0,0,0,2.06282,176.886,3.73536,1.77601,0,0.000374422,0.000374422,0.0853744
5,19.5884,1.63307,3.12331,3.45723,1.35764,0,0,0,0,0,0,0,0,0,1.86044,166.352,3.56324,1.61454,0,0.0004737,0.0004737,0.0814737
6,21.528,1.52634,3.08671,3.10358,1.32136,0,0,0,0,0,0,0,0,0,1.69562,129.623,3.59971,1.58676,0,0.000572542,0.000572542,0.0775725
7,23.7448,1.34487,2.84816,2.87785,1.23144,0,0,0,0,0,0,0,0,0,1.69235,73.8782,3.65296,1.67669,0,0.000670847,0.000670847,0.0736708
8,26.7523,1.35882,2.53205,3.04232,1.26659,0,0,0,0,0,0,0,0,0,1.78453,55.0919,3.75314,1.71322,0,0.000768515,0.000768515,0.0697685
9,29.4619,1.3849,2.69231,2.48872,1.20382,0,0,0,0,0,0,0,0,0,1.87935,43.7758,3.88546,1.78354,0,0.000865444,0.000865444,0.0658654
10,31.681,1.29873,2.68487,2.49026,1.22944,0,0,0,0,0,0,0,0,0,1.72586,31.8615,3.9147,1.54322,0,0.000961537,0.000961537,0.0619615
11,33.5831,1.30654,2.6313,2.33341,1.28617,0,0,0,0,0,0,0,0,0,1.65101,24.4963,3.88399,1.48486,0,0.00105669,0.00105669,0.0580567
12,35.5206,1.28768,2.36201,2.77102,1.16512,0,0,0,0,0,0,0,0,0,1.82787,19.9658,3.92712,1.64886,0,0.00115082,0.00115082,0.0541508
13,37.5986,1.32575,2.35094,2.50674,1.21824,0,0,0,0,0,0,0,0,0,1.60201,14.8338,3.46753,1.38499,0,0.00124381,0.00124381,0.0502438
14,39.9479,1.17393,2.17526,2.18944,1.13132,0,0,0,0,0,0,0,0,0,1.58573,12.7217,3.41202,1.34253,0,0.00133559,0.00133559,0.0463356
15,43.0472,1.28219,2.23915,2.38107,1.20508,0,0,0,0,0,0,0,0,0,1.5452,8.95799,3.39967,1.2802,0,0.00142604,0.00142604,0.042426
16,45.0943,1.23312,2.34262,2.37983,1.23402,0,0,0,0,0,0,0,0,0,1.52119,6.95302,3.31365,1.24609,0,0.00151509,0.00151509,0.0385151
17,46.9823,1.24032,2.15562,2.40244,1.18536,0,0,0,0,0,0,0,0,0,1.45726,5.99111,3.0959,1.23559,0,0.00160263,0.00160263,0.0346026
18,48.9472,1.32931,2.13351,2.15765,1.22355,0,0,0,0,0,0,0,0,0,1.56886,4.93848,2.99289,1.31583,0,0.00168859,0.00168859,0.0306886
19,51.0065,1.34131,2.37225,2.1819,1.21177,0,0,0,0,0,0,0,0,0,1.71776,4.13365,2.77415,1.4347,0,0.00177287,0.00177287,0.0267729
20,52.9323,1.22298,2.23215,2.28444,1.18806,0,0.25,0.01471,0.13235,0.09265,0.25,0.01471,0.13235,0.06618,1.61776,3.94846,2.72476,1.42451,0,0.00185539,0.00185539,0.0228554
21,55.7591,1.33756,2.31545,2.31371,1.23212,0,0.25,0.01471,0.13235,0.10588,0.25,0.01471,0.13235,0.07941,1.4942,4.02002,2.64409,1.32459,0,0.00193607,0.00193607,0.0189361
22,58.9738,1.47384,2.56531,2.32036,1.3316,0,0.5,0.09804,0.29901,0.24264,0.5,0.09804,0.29901,0.21274,1.51676,3.96011,2.57635,1.32485,0,0.00201483,0.00201483,0.0150148
23,60.8268,1.19554,1.90333,2.02517,1.13961,0,0.5,0.09804,0.29901,0.24264,0.5,0.09804,0.29901,0.21274,1.51676,3.96011,2.57635,1.32485,0,0.00209158,0.00209158,0.0110916
24,62.6055,1.27216,2.12434,2.68609,1.13741,0,0.3035,0.11275,0.19615,0.16806,0.3035,0.11275,0.19615,0.14503,1.53733,3.44064,2.43832,1.33583,0,0.00216625,0.00216625,0.00716625
25,64.7472,1.2464,2.12943,2.06862,1.17254,0,0.31818,0.17157,0.2179,0.16553,0.31818,0.17157,0.2179,0.14655,1.60682,3.55618,2.44106,1.36327,0,0.00223878,0.00223878,0.00323878
