epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4251,2.52915,4.90938,4.69625,1.83484,0,0,0,0,0,0,0,0,0,2.25102,4.44958,4.42674,1.96997,0,2.5e-05,2.5e-05,2.5e-05
2,13.836,2.4391,4.75841,4.63982,1.83805,0,0,0,0,0,0,0,0,0,2.25482,4.4493,4.40658,1.95893,0,6.18813e-05,6.18813e-05,6.18813e-05
3,15.5217,2.40343,4.58197,4.62947,1.70738,0,0,0,0,0,0,0,0,0,2.00337,4.08723,4.27936,1.6846,0,9.802e-05,9.802e-05,9.802e-05
4,17.1266,1.96661,3.60403,4.32596,1.48561,0,0,0,0,0,0,0,0,0,1.70833,3.521,4.04498,1.34278,0,0.000133416,0.000133416,0.000133416
5,19.3744,1.73003,3.24352,3.94409,1.33869,0,0.00043,0.01471,0.00024,7e-05,0,0,0,0,1.49122,3.29649,3.98742,1.24163,0,0.00016807,0.00016807,0.00016807
6,22.2391,1.81372,2.9896,3.69257,1.28256,0,0.00266,0.13824,0.00697,0.00206,0.00191,0.10882,0.00394,0.0014,1.45331,3.13646,3.91206,1.19062,0,0.000201981,0.000201981,0.000201981
7,24.6046,1.69494,2.84411,3.48179,1.2351,0,0.004,0.3902,0.06815,0.01986,0.00241,0.22745,0.02936,0.00917,1.54036,3.07092,3.88527,1.25989,0,0.00023515,0.00023515,0.00023515
8,26.1334,1.48252,2.67042,3.27733,1.15369,0,0.00478,0.4049,0.08053,0.02571,0.00359,0.25686,0.03519,0.00871,1.46918,3.04155,3.85338,1.22161,0,0.000267576,0.000267576,0.000267576
9,27.952,1.60753,2.67509,3.22147,1.14522,0,0.00661,0.44902,0.08805,0.03033,0.00484,0.28627,0.06205,0.01553,1.27922,2.96095,3.7558,1.11892,0,0.00029926,0.00029926,0.00029926
10,29.9679,1.50963,2.59442,2.99791,1.10619,0,0.00609,0.51765,0.14584,0.03158,0.00456,0.28627,0.04181,0.01221,1.28612,2.99672,3.76954,1.12259,0,0.000330201,0.000330201,0.000330201
11,31.956,1.37094,2.51522,2.80825,1.07386,0,0.0057,0.60098,0.14308,0.02951,0.00386,0.28627,0.03151,0.01235,1.34474,3.21335,3.74644,1.18252,0,0.0003604,0.0003604,0.0003604
12,34.8472,1.36088,2.36082,2.47552,1.03659,0,0.00564,0.53235,0.15134,0.03412,0.00377,0.28627,0.05183,0.01152,1.35333,3.15628,3.70797,1.16718,0,0.000389856,0.000389856,0.000389856
13,37.6219,1.43613,2.39726,2.59683,1.09852,0,0.00674,0.71373,0.16521,0.03786,0.00562,0.49706,0.06193,0.0278,1.39831,3.49846,3.65086,1.17482,0,0.00041857,0.00041857,0.00041857
14,39.3415,1.31695,2.41881,2.3595,1.07074,0,0.00596,0.61569,0.11816,0.03153,0.00447,0.38431,0.05008,0.01772,1.3995,3.5054,3.64323,1.16444,0,0.000446541,0.000446541,0.000446541
15,41.0426,1.39743,2.38312,2.42973,1.06789,0,0.00669,0.71373,0.14628,0.03781,0.0052,0.55098,0.07657,0.02875,1.45743,3.26989,3.65731,1.19543,0,0.00047377,0.00047377,0.00047377
16,42.6369,1.40763,2.46767,2.16157,1.0807,0,0.00674,0.71373,0.19099,0.06508,0.00522,0.48235,0.1281,0.05979,1.48122,3.16907,3.66699,1.23473,0,0.000500256,0.000500256,0.000500256
17,45.2517,1.29092,2.23213,2.22116,1.0511,0,0.00561,0.60098,0.23263,0.08832,0.00449,0.38431,0.11749,0.05395,1.53628,3.0459,3.65326,1.25749,0,0.000526,0.000526,0.000526
18,47.2854,1.21883,2.07897,2.18866,1.02819,0,0.00556,0.60098,0.21839,0.08945,0.00406,0.36961,0.11517,0.05104,1.51415,2.90509,3.63154,1.2366,0,0.000551001,0.000551001,0.000551001
19,49.595,1.32601,2.28577,2.17294,1.08765,0,0.00599,0.68431,0.1506,0.05492,0.00523,0.55098,0.06148,0.02931,1.4734,3.13376,3.63958,1.21747,0,0.00057526,0.00057526,0.00057526
20,52.1015,1.37889,2.33576,2.21923,1.10158,0,0.00488,0.57157,0.06986,0.0248,0.0045,0.52157,0.05982,0.0231,1.49209,3.14975,3.64934,1.22282,0,0.000598776,0.000598776,0.000598776
21,54.3431,1.23811,2.02291,2.17861,1.07746,0,0.00558,0.60098,0.15479,0.05462,0.00557,0.56569,0.14464,0.06862,1.38819,3.11305,3.54525,1.1984,0,0.00062155,0.00062155,0.00062155
22,55.8722,1.22554,2.14763,2.03312,1.02646,0,0.00673,0.6451,0.23981,0.08438,0.00675,0.6098,0.14939,0.06065,1.41211,3.2676,3.47953,1.23311,0,0.000643581,0.000643581,0.000643581
23,57.5971,1.33063,2.0106,2.20706,1.07937,0,0.0068,0.6451,0.12033,0.0483,0.00606,0.51176,0.09278,0.04463,1.38511,3.18756,3.49457,1.22016,0,0.00066487,0.00066487,0.00066487
24,59.4319,1.37951,2.25144,2.15872,1.08589,0,0.00526,0.51765,0.07578,0.03191,0.00413,0.33431,0.07236,0.03374,1.41722,3.13813,3.66541,1.26837,0,0.000685416,0.000685416,0.000685416
25,61.1205,1.25832,2.06301,2.1392,1.05079,0,0.00411,0.4049,0.04662,0.02203,0.00296,0.22157,0.04094,0.01943,1.55807,3.28591,3.85451,1.34661,0,0.00070522,0.00070522,0.00070522
26,62.893,1.2808,1.95154,1.96885,1.06716,0,0.00518,0.51765,0.04039,0.01989,0.004,0.33431,0.04075,0.0194,1.52915,2.97395,3.77927,1.3301,0,0.000724281,0.000724281,0.000724281
27,65.1886,1.30686,2.06285,2.03363,1.03515,0,0.00553,0.60098,0.11763,0.05814,0.00436,0.41765,0.09758,0.04155,1.48998,3.0014,3.62173,1.27787,0,0.0007426,0.0007426,0.0007426
28,67.8773,1.21542,1.96512,2.10055,1.03029,0,0.00561,0.53235,0.15018,0.06742,0.00554,0.53039,0.1318,0.066,1.49534,2.90171,3.60107,1.29585,0,0.000760176,0.000760176,0.000760176
29,69.8674,1.24967,2.05369,2.05918,1.09304,0,0.00561,0.53235,0.15018,0.06742,0.00554,0.53039,0.1318,0.066,1.49534,2.90171,3.60107,1.29585,0,0.00077701,0.00077701,0.00077701
30,71.5102,1.21378,1.96976,1.93666,1.06149,0,0.00492,0.50294,0.12811,0.05449,0.00374,0.31961,0.11981,0.06219,1.57276,2.73311,3.76478,1.33133,0,0.000793101,0.000793101,0.000793101
31,73.2504,1.11644,1.83467,1.80078,1.00823,0,0.005,0.57157,0.13367,0.05085,0.00306,0.2902,0.12176,0.05303,1.53438,2.88372,3.79352,1.31769,0,0.00080845,0.00080845,0.00080845
32,74.8949,1.13689,1.87196,1.97496,1.02111,0,0.00583,0.60098,0.16459,0.07684,0.0039,0.31961,0.14593,0.06645,1.48546,3.07617,3.66279,1.27132,0,0.000823056,0.000823056,0.000823056
33,76.4124,1.17968,1.86699,1.89492,1.02052,0,0.00583,0.60098,0.16459,0.07684,0.0039,0.31961,0.14593,0.06645,1.48546,3.07617,3.66279,1.27132,0,0.00083692,0.00083692,0.00083692
34,78.2274,1.13596,1.93501,1.88325,1.00239,0,0.00551,0.58627,0.17753,0.09875,0.00358,0.3049,0.16469,0.09405,1.5065,3.07158,3.82252,1.30144,0,0.000841625,0.000841625,0.000841625
35,80.5324,1.12801,1.81665,1.78578,0.9894,0,0.00475,0.48824,0.1838,0.10063,0.00275,0.27549,0.17626,0.08979,1.5613,3.41691,3.9663,1.35852,0,0.00082925,0.00082925,0.00082925
36,82.9812,1.17447,1.95432,1.96982,1.02895,0,0.00539,0.46765,0.17769,0.10531,0.00287,0.2402,0.14654,0.08524,1.49679,3.49426,3.91662,1.30195,0,0.000816875,0.000816875,0.000816875
37,85.1338,1.07453,1.74776,1.74238,1.01121,0,0.00539,0.46765,0.17769,0.10531,0.00287,0.2402,0.14654,0.08524,1.49679,3.49426,3.91662,1.30195,0,0.0008045,0.0008045,0.0008045
38,86.8217,1.09298,1.95124,1.80581,0.98992,0,0.00554,0.53627,0.19855,0.12697,0.00404,0.26961,0.16808,0.12158,1.40771,3.14294,3.71037,1.23873,0,0.000792125,0.000792125,0.000792125
39,88.4249,1.13141,1.76446,1.7926,0.99969,0,0.00813,0.6451,0.23595,0.14723,0.00653,0.41373,0.1982,0.13698,1.42176,2.92319,3.60328,1.21053,0,0.00077975,0.00077975,0.00077975
40,90.2091,1.04459,1.72095,1.76792,0.98232,0,0.79215,0.09804,0.24599,0.13326,0.79215,0.09804,0.17588,0.09492,1.52942,3.16917,3.60709,1.22583,0,0.000767375,0.000767375,0.000767375
41,91.6902,1.10298,1.87111,1.87179,0.99037,0,0.79215,0.09804,0.24599,0.13326,0.79215,0.09804,0.17588,0.09492,1.52942,3.16917,3.60709,1.22583,0,0.000755,0.000755,0.000755
42,93.358,1.15098,1.87718,1.72861,0.98449,0,0.85092,0.1048,0.26361,0.13956,0.85092,0.1048,0.20984,0.12584,1.56861,3.08256,3.47155,1.22954,0,0.000742625,0.000742625,0.000742625
43,95.4081,1.08548,1.94487,1.66122,0.97482,0,0.81354,0.11275,0.23632,0.14933,0.81354,0.11275,0.22177,0.14555,1.53446,2.90754,3.33956,1.2109,0,0.00073025,0.00073025,0.00073025
44,98.2334,1.0554,1.71466,1.91616,0.98001,0,0.88618,0.17129,0.26861,0.16356,0.88618,0.17129,0.25591,0.16336,1.44996,2.74325,3.14168,1.16612,0,0.000717875,0.000717875,0.000717875
45,100.141,1.03391,1.72549,1.48798,0.94882,0,0.88618,0.17129,0.26861,0.16356,0.88618,0.17129,0.25591,0.16336,1.44996,2.74325,3.14168,1.16612,0,0.0007055,0.0007055,0.0007055
46,101.643,1.03614,1.69794,1.48177,0.99715,0,0.88329,0.21078,0.2897,0.17345,0.88329,0.21078,0.28063,0.18219,1.39179,2.81438,2.91929,1.13637,0,0.000693125,0.000693125,0.000693125
47,103.34,1.0788,1.66028,1.98031,0.98927,0,0.65068,0.2549,0.29108,0.1584,0.65068,0.2549,0.285,0.17334,1.40041,2.91611,2.91389,1.1186,0,0.00068075,0.00068075,0.00068075
48,105.097,0.97448,1.67724,1.58592,0.95135,0,0.56884,0.14216,0.26002,0.1293,0.56884,0.14216,0.25055,0.14946,1.44732,2.85076,3.0982,1.12783,0,0.000668375,0.000668375,0.000668375
49,106.765,1.08034,1.76126,1.60244,0.96423,0,0.56884,0.14216,0.26002,0.1293,0.56884,0.14216,0.25055,0.14946,1.44732,2.85076,3.0982,1.12783,0,0.000656,0.000656,0.000656
50,108.477,0.9911,1.62186,1.59791,0.95339,0,0.90476,0.1233,0.20773,0.1114,0.90476,0.1233,0.19783,0.11686,1.47595,2.83904,3.2294,1.15955,0,0.000643625,0.000643625,0.000643625
51,111.174,1.05715,1.76157,1.54666,0.97971,0,0.90582,0.08333,0.18249,0.08575,0.90582,0.08333,0.17329,0.08015,1.40158,2.82031,3.33814,1.16326,0,0.00063125,0.00063125,0.00063125
52,113.834,1.05772,2.01521,1.71377,0.96552,0,0.68671,0.086,0.17392,0.0845,0.68671,0.086,0.16622,0.07873,1.4017,2.96347,3.34224,1.19687,0,0.000618875,0.000618875,0.000618875
53,115.489,1.05873,1.74956,1.55897,0.96398,0,0.68671,0.086,0.17392,0.0845,0.68671,0.086,0.16622,0.07873,1.4017,2.96347,3.34224,1.19687,0,0.0006065,0.0006065,0.0006065
54,117.047,1.03735,1.64047,1.5503,0.95581,0,0.83566,0.11275,0.16378,0.07519,0.83566,0.11275,0.1586,0.07379,1.44104,2.79794,3.22632,1.22188,0,0.000594125,0.000594125,0.000594125
