epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6739,2.26006,4.84602,4.91785,1.9434,0,0,0,0,0,0,0,0,0,2.22388,4.14287,4.44079,2.13578,0,9e-05,9e-05,0.09709
2,15.0142,2.2713,4.8531,4.56631,1.92622,0,0,0,0,0,0,0,0,0,1.91846,15.9331,4.14568,1.68684,0,0.000209974,0.000209974,0.09321
3,17.0867,1.69922,4.91101,4.16986,1.57794,0,0,0,0,0,0,0,0,0,1.93094,32.8738,3.62792,1.66463,0,0.000329834,0.000329834,0.0893298
4,19.0463,1.95771,3.97822,3.60948,1.58098,0,0,0,0,0,0,0,0,0,1.96575,16.2584,3.57861,1.63824,0,0.000449491,0.000449491,0.0854495
5,22.1341,1.67489,3.5937,4.03593,1.42151,0,0,0,0,0,0,0,0,0,1.51342,16.2334,3.59225,1.39986,0,0.000568853,0.000568853,0.0815689
6,25.0035,1.4961,3.24501,3.22186,1.27651,0,0,0,0,0,0,0,0,0,1.68995,19.0318,3.64876,1.51137,0,0.000687832,0.000687832,0.0776878
7,26.8525,1.55177,3.11826,2.94775,1.31523,0,0,0,0,0,0,0,0,0,1.90797,18.8713,3.69445,1.79755,0,0.000806336,0.000806336,0.0738063
8,28.7925,1.50686,2.57846,3.0295,1.30432,0,0,0,0,0,0,0,0,0,1.77891,19.7588,3.77017,1.63601,0,0.000924278,0.000924278,0.0699243
9,30.7157,1.45098,2.74779,2.60207,1.26115,0,0,0,0,0,0,0,0,0,1.74843,21.8199,3.82529,1.55943,0,0.00104157,0.00104157,0.0660416
10,33.0857,1.43011,2.82086,2.65801,1.27127,0,0,0,0,0,0,0,0,0,1.78715,26.8971,4.05224,1.64842,0,0.00115812,0.00115812,0.0621581
11,35.55,1.39363,2.66938,2.45041,1.22758,0,0,0,0,0,0,0,0,0,1.77508,23.4965,4.02988,1.64806,0,0.00127384,0.00127384,0.0582738
12,38.6158,1.65918,2.7601,3.44659,1.41049,0,0,0,0,0,0,0,0,0,1.73217,26.6375,3.9735,1.59821,0,0.00138864,0.00138864,0.0543886
13,40.845,1.41146,2.81016,2.3728,1.30899,0,0,0,0,0,0,0,0,0,1.74097,28.5235,3.83731,1.62337,0,0.00150245,0.00150245,0.0505024
14,42.8358,1.28986,2.52063,2.22164,1.20562,0,0,0,0,0,0,0,0,0,1.72091,29.5942,3.71802,1.51682,0,0.00161516,0.00161516,0.0466152
15,44.6311,1.32262,2.59899,2.46801,1.25517,0,0,0,0,0,0,0,0,0,1.72881,32.4288,3.68874,1.46974,0,0.00172671,0.00172671,0.0427267
16,46.5783,1.48191,2.77712,2.34706,1.33964,0,0,0,0,0,0,0,0,0,1.6677,27.7975,3.62375,1.41584,0,0.001837,0.001837,0.038837
17,48.6141,1.41105,2.40792,2.69291,1.2638,0,0,0,0,0,0,0,0,0,1.69106,20.4859,3.58076,1.43167,0,0.00194595,0.00194595,0.0349459
18,51.3422,1.26556,2.63963,2.24831,1.1798,0,0,0,0,0,0,0,0,0,1.72777,16.5763,3.81824,1.51323,0,0.00205348,0.00205348,0.0310535
19,54.3835,1.19183,2.23683,2.08235,1.16602,0,0,0,0,0,0,0,0,0,1.76158,13.0771,3.79043,1.51353,0,0.00215951,0.00215951,0.0271595
