epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.76918,2.1884,5.04378,4.79124,1.83376,0,0,0,0,0,0,0,0,0,1.33159,2.97302,4.23405,1.44377,0,0.0001125,0.0001125,0.0001125
2,12.6751,1.86632,3.86424,4.39503,1.62799,0,0.00151,0.06471,0.00194,0.00107,0.00151,0.06471,0.00194,0.00046,0.99614,2.92287,4.05785,1.21079,0,0.000235149,0.000235149,0.000235149
3,16.274,1.49919,3.16181,3.9359,1.32437,0,0.0086,0.76176,0.1254,0.0793,0.00775,0.66373,0.12298,0.07043,1.11223,3.13997,3.81434,1.07784,0,0.000355322,0.000355322,0.000355322
4,20.8782,1.49183,2.85484,3.58497,1.22624,0,0.01035,0.90588,0.13739,0.07655,0.00965,0.77255,0.13,0.07702,1.19448,2.67122,3.75396,1.09721,0,0.000473021,0.000473021,0.000473021
5,23.8373,1.39414,2.70421,3.40195,1.15611,0,0.0098,0.92059,0.18009,0.09761,0.00902,0.78725,0.13328,0.06271,1.21206,2.03321,3.61679,1.08632,0,0.000588245,0.000588245,0.000588245
6,27.057,1.35511,2.58233,3.20179,1.19355,0,0.0097,0.92059,0.2024,0.12649,0.00821,0.68922,0.09454,0.04475,1.10803,2.30378,3.52967,1.00497,0,0.000700994,0.000700994,0.000700994
7,30.1117,1.42735,2.79164,3.09823,1.24892,0,0.0097,0.92059,0.2024,0.12649,0.00821,0.68922,0.09454,0.04475,1.10803,2.30378,3.52967,1.00497,0,0.000811267,0.000811267,0.000811267
8,34.8169,1.38802,2.69231,3.15243,1.21719,0,0.01026,0.97059,0.15545,0.08538,0.0095,0.83725,0.0902,0.04276,1.20778,2.47572,3.41805,1.00967,0,0.000919066,0.000919066,0.000919066
9,38.0626,1.2928,2.46559,2.91117,1.16251,0,0.01199,0.98529,0.20885,0.12994,0.01084,0.80196,0.16827,0.07367,1.34388,2.66656,3.4761,1.1207,0,0.00102439,0.00102439,0.00102439
10,41.0903,1.3117,2.5375,2.90746,1.17417,0,0.01199,0.98529,0.20885,0.12994,0.01084,0.80196,0.16827,0.07367,1.34388,2.66656,3.4761,1.1207,0,0.00112724,0.00112724,0.00112724
11,44.1393,1.29926,2.31433,3.02065,1.15545,0,0.37491,0.35098,0.28889,0.18858,0.37409,0.30098,0.23402,0.15623,1.52269,2.42014,3.28037,1.17562,0,0.00112625,0.00112625,0.00112625
