epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1544,0.945,2.03109,2.11773,1.2785,0,0.81945,0.29833,0.54802,0.31758,0.79366,0.28894,0.48153,0.23803,1.18443,4.71218,2.91154,1.57019,0,0.000653333,0.000653333,0.000653333
2,140.511,1.05172,1.76159,1.71459,1.3225,0,0.66728,0.47418,0.55541,0.32652,0.79695,0.4507,0.56162,0.32374,1.29487,4.242,2.21085,1.89824,0,0.00129386,0.00129386,0.00129386
3,208.688,1.11954,1.88579,1.62737,1.37318,0,0.26102,0.31925,0.21643,0.08446,0.25368,0.30986,0.20786,0.08287,1.92932,4.01216,3.17939,2.54358,0,0.00190799,0.00190799,0.00190799
4,271.862,1.07854,1.80832,1.49482,1.35034,0,0.72909,0.5446,0.65535,0.35098,0.75719,0.54172,0.66126,0.3328,1.34046,3.00377,1.97494,1.71773,0,0.0018812,0.0018812,0.0018812
5,331.592,1.06943,1.73855,1.38471,1.32747,0,0.77701,0.69953,0.77258,0.51161,0.80425,0.68545,0.76085,0.50891,1.07531,2.1336,1.3885,1.44407,0,0.0018416,0.0018416,0.0018416
6,390.791,1.02031,1.71164,1.28207,1.31359,0,0.80081,0.69953,0.77278,0.52761,0.73239,0.62911,0.68835,0.44444,1.07034,3.05303,1.28623,1.43899,0,0.001802,0.001802,0.001802
7,447.982,1.00434,1.64676,1.22793,1.31201,0,0.72355,0.53521,0.64096,0.4464,0.74094,0.53991,0.64042,0.45685,1.18961,2.092,1.77476,1.53551,0,0.0017624,0.0017624,0.0017624
8,514.715,0.99026,1.61589,1.14409,1.29456,0,0.7129,0.55869,0.63576,0.41352,0.71388,0.56338,0.64518,0.4222,1.24078,2.16022,1.34787,1.59175,0,0.0017228,0.0017228,0.0017228
9,578.201,0.94877,1.52543,1.1061,1.25081,0,0.80647,0.64789,0.77505,0.54698,0.81968,0.68294,0.79714,0.55569,1.07632,1.86553,1.25604,1.4342,0,0.0016832,0.0016832,0.0016832
10,667.186,0.93532,1.54669,1.08173,1.26439,0,0.86603,0.75871,0.85171,0.60891,0.87185,0.76661,0.86164,0.64062,0.99897,1.52643,0.97723,1.34216,0,0.0016436,0.0016436,0.0016436
11,745.614,0.96548,1.60932,1.08796,1.27738,0,0.78766,0.77934,0.82859,0.59434,0.7924,0.78404,0.83396,0.6135,0.99673,1.75147,0.99743,1.35395,0,0.001604,0.001604,0.001604
12,827.016,0.93669,1.51986,1.03516,1.24854,0,0.76635,0.64319,0.76007,0.54431,0.79184,0.66078,0.77958,0.5805,0.91798,1.57215,1.17319,1.30524,0,0.0015644,0.0015644,0.0015644
13,900.635,0.90048,1.42284,0.98259,1.23361,0,0.83153,0.78404,0.87504,0.66293,0.83651,0.78873,0.87604,0.66715,0.85048,1.42775,0.92883,1.25039,0,0.0015248,0.0015248,0.0015248
14,962.049,0.88194,1.46574,0.98751,1.21848,0,0.87036,0.79343,0.8806,0.65184,0.88644,0.80751,0.90072,0.67637,0.88528,1.46475,0.77806,1.29333,0,0.0014852,0.0014852,0.0014852
15,1028.65,0.88534,1.42691,0.95113,1.20962,0,0.84764,0.73136,0.83917,0.62864,0.84206,0.72589,0.82546,0.59247,0.88391,2.2265,0.93864,1.2644,0,0.0014456,0.0014456,0.0014456
16,1092.47,0.8728,1.43714,0.93041,1.21312,0,0.86996,0.76995,0.8786,0.62579,0.87646,0.77465,0.89092,0.64603,0.92694,1.43416,0.87542,1.27194,0,0.001406,0.001406,0.001406
17,1157.27,0.85645,1.4167,0.9284,1.19971,0,0.91199,0.78404,0.88922,0.66489,0.91745,0.78873,0.88725,0.68021,0.86542,1.35774,0.80859,1.247,0,0.0013664,0.0013664,0.0013664
18,1216.38,0.83181,1.39605,0.91765,1.19568,0,0.90377,0.79343,0.88214,0.67815,0.91497,0.80282,0.89828,0.69519,0.83205,1.39726,0.74291,1.22901,0,0.0013268,0.0013268,0.0013268
19,1274.79,0.83871,1.37141,0.90456,1.19064,0,0.87276,0.79343,0.88854,0.68044,0.90159,0.81221,0.9028,0.70003,0.80318,1.30213,0.73658,1.22029,0,0.0012872,0.0012872,0.0012872
20,1334.62,0.84854,1.40804,0.89369,1.19257,0,0.89071,0.8169,0.91341,0.70014,0.88306,0.82629,0.91405,0.70983,0.7801,1.39093,0.68461,1.17625,0,0.0012476,0.0012476,0.0012476
21,1392.55,0.83524,1.32597,0.88126,1.17038,0,0.85336,0.80282,0.87187,0.66751,0.87916,0.79343,0.87308,0.68531,0.81489,1.40263,0.80437,1.2105,0,0.001208,0.001208,0.001208
22,1453.1,0.82358,1.40519,0.87552,1.18511,0,0.91849,0.84642,0.92482,0.73109,0.92209,0.84507,0.93013,0.72812,0.79386,1.27695,0.66367,1.19645,0,0.0011684,0.0011684,0.0011684
23,1511.94,0.79016,1.30503,0.84523,1.14857,0,0.90605,0.83568,0.91882,0.69061,0.91742,0.84507,0.91474,0.70673,0.85365,1.32243,0.68862,1.29216,0,0.0011288,0.0011288,0.0011288
24,1570.14,0.77552,1.2378,0.77786,1.13899,0,0.8886,0.84977,0.91978,0.71418,0.8886,0.84977,0.91908,0.71679,0.84124,1.40205,0.69096,1.23502,0,0.0010892,0.0010892,0.0010892
25,1626.89,0.77417,1.26199,0.80371,1.14803,0,0.8892,0.8169,0.88731,0.68749,0.89431,0.8216,0.89597,0.69706,0.84089,1.35903,0.73961,1.24669,0,0.0010496,0.0010496,0.0010496
26,1682.11,0.76741,1.23354,0.78459,1.13428,0,0.9184,0.81221,0.90592,0.69693,0.92902,0.8216,0.9181,0.71499,0.79734,1.24054,0.7095,1.22382,0,0.00101,0.00101,0.00101
27,1724.85,0.73905,1.23258,0.76097,1.13433,0,0.91394,0.83099,0.90992,0.70521,0.92033,0.83568,0.91749,0.72245,0.79204,1.21987,0.67422,1.20267,0,0.0009704,0.0009704,0.0009704
28,1764.64,0.75823,1.20088,0.78259,1.13117,0,0.91746,0.7828,0.89068,0.67475,0.91746,0.7828,0.88781,0.68856,0.83199,1.24184,0.73688,1.24681,0,0.0009308,0.0009308,0.0009308
29,1809.09,0.74289,1.21797,0.7567,1.14262,0,0.88826,0.8169,0.90201,0.70702,0.88899,0.8169,0.90391,0.72144,0.79939,1.29545,0.70378,1.23633,0,0.0008912,0.0008912,0.0008912
30,1855.33,0.71546,1.19877,0.72398,1.11262,0,0.88694,0.83568,0.89317,0.69789,0.89614,0.84977,0.90841,0.70321,0.80275,1.3767,0.74233,1.2266,0,0.0008516,0.0008516,0.0008516
31,1907.56,0.70095,1.18172,0.72239,1.10902,0,0.7859,0.8272,0.8886,0.68502,0.79036,0.8319,0.89564,0.70381,0.82297,1.24446,0.72828,1.23528,0,0.000812,0.000812,0.000812
32,1959.31,0.69729,1.15521,0.73272,1.09795,0,0.92424,0.84038,0.92318,0.73539,0.92222,0.84507,0.92205,0.74439,0.76572,1.17751,0.6238,1.17471,0,0.0007724,0.0007724,0.0007724
33,2019.06,0.7066,1.16573,0.68227,1.1067,0,0.86109,0.88263,0.92118,0.73217,0.86583,0.88732,0.92526,0.75016,0.72382,1.17809,0.61619,1.13458,0,0.0007328,0.0007328,0.0007328
34,2067.53,0.67822,1.14011,0.67124,1.08875,0,0.88528,0.86951,0.92047,0.72976,0.88528,0.86951,0.92002,0.73371,0.72743,1.21554,0.64804,1.16117,0,0.0006932,0.0006932,0.0006932
35,2123.97,0.66909,1.09222,0.67135,1.07981,0,0.91995,0.86854,0.92515,0.73508,0.91995,0.86854,0.92618,0.75447,0.7385,1.19248,0.63092,1.16765,0,0.0006536,0.0006536,0.0006536
36,2174.67,0.70313,1.16912,0.67264,1.09725,0,0.91167,0.87324,0.92811,0.74194,0.93393,0.86269,0.93155,0.75253,0.72369,1.25617,0.60957,1.16199,0,0.000614,0.000614,0.000614
